row,id,travel_datetime,travel_date,pointtype,name,sleepcategory,nonights,next_id,next_travel_datetime,next_travel_date,next_pointtype,next_name,day_diff_to_next_entry,status,
149,149,12/30/2023 0:00,12/30/2023,sleep,El Medano,camping,1,150,12/31/2023 0:00,12/31/2023,waypoint,La Caleta,1,match,
150,150,12/31/2023 0:00,12/31/2023,waypoint,La Caleta,,0,151,12/31/2023 0:01,12/31/2023,sleep,Cave,0,not_sleep,
151,151,12/31/2023 0:01,12/31/2023,sleep,Cave,camping,2,152,1/2/2024 0:00,1/2/2024,sleep,Playa Teresitas,2,match,
152,152,1/2/2024 0:00,1/2/2024,sleep,Playa Teresitas,camping,15,153,1/17/2024 0:00,1/17/2024,sleep,SY Falkor,15,match,
153,153,1/17/2024 0:00,1/17/2024,sleep,SY Falkor,boat,11,154,1/27/2024 0:00,1/27/2024,waypoint,Engine failure,10,mismatch,-1
154,154,1/27/2024 0:00,1/27/2024,waypoint,Engine failure,,0,155,1/27/2024 0:01,1/27/2024,sleep,SY Falkor,0,not_sleep,
155,155,1/27/2024 0:01,1/27/2024,sleep,SY Falkor,boat,19,156,2/14/2024 0:00,2/14/2024,sleep,"Tenerife - Fuerteventura, Day 1",18,mismatch,-1
156,156,2/14/2024 0:00,2/14/2024,sleep,"Tenerife - Fuerteventura, Day 1",boat,1,157,2/15/2024 0:00,2/15/2024,sleep,Gran Tarajal,1,match,
157,157,2/15/2024 0:00,2/15/2024,sleep,Gran Tarajal,boat,1,158,2/16/2024 0:00,2/16/2024,waypoint,Tuneje,1,match,
158,158,2/16/2024 0:00,2/16/2024,waypoint,Tuneje,,0,159,2/16/2024 0:01,2/16/2024,waypoint,Ajuy,0,not_sleep,
159,159,2/16/2024 0:01,2/16/2024,waypoint,Ajuy,,0,160,2/16/2024 0:03,2/16/2024,sleep,Playa Solapa,0,not_sleep,
160,160,2/16/2024 0:03,2/16/2024,sleep,Playa Solapa,camping,1,161,2/17/2024 0:00,2/17/2024,waypoint,Pajara,1,match,
161,161,2/17/2024 0:00,2/17/2024,waypoint,Pajara,,0,162,2/17/2024 0:01,2/17/2024,waypoint,Betancuria,0,not_sleep,
162,162,2/17/2024 0:01,2/17/2024,waypoint,Betancuria,,0,163,2/17/2024 0:04,2/17/2024,waypoint,Llanos de La Conception,0,not_sleep,
163,163,2/17/2024 0:04,2/17/2024,waypoint,Llanos de La Conception,,0,164,2/17/2024 0:05,2/17/2024,waypoint,Tefia,0,not_sleep,
164,164,2/17/2024 0:05,2/17/2024,waypoint,Tefia,,0,165,2/17/2024 0:06,2/17/2024,waypoint,El Caidero,0,not_sleep,
165,165,2/17/2024 0:06,2/17/2024,waypoint,El Caidero,,0,166,2/17/2024 0:07,2/17/2024,waypoint,Lajares,0,not_sleep,
166,166,2/17/2024 0:07,2/17/2024,waypoint,Lajares,,0,167,2/17/2024 0:08,2/17/2024,waypoint,Cotillo,0,not_sleep,
167,167,2/17/2024 0:08,2/17/2024,waypoint,Cotillo,,0,168,2/17/2024 0:09,2/17/2024,sleep,Cotillo Beach,0,not_sleep,
168,168,2/17/2024 0:09,2/17/2024,sleep,Cotillo Beach,camping,1,170,2/18/2024 0:00,2/18/2024,waypoint,Cotillo,1,match,
169,170,2/18/2024 0:00,2/18/2024,waypoint,Cotillo,,0,169,2/18/2024 0:01,2/18/2024,waypoint,Corralejo,0,not_sleep,
170,169,2/18/2024 0:01,2/18/2024,waypoint,Corralejo,,0,171,2/18/2024 0:03,2/18/2024,sleep,Corralejo,0,not_sleep,
171,171,2/18/2024 0:03,2/18/2024,sleep,Corralejo,camping,1,172,2/19/2024 0:00,2/19/2024,waypoint,Corallejo,1,match,
172,172,2/19/2024 0:00,2/19/2024,waypoint,Corallejo,,0,173,2/19/2024 0:01,2/19/2024,waypoint,Puerto de Rosario,0,not_sleep,
173,173,2/19/2024 0:01,2/19/2024,waypoint,Puerto de Rosario,,0,174,2/19/2024 0:03,2/19/2024,waypoint,Gran Tarajal,0,not_sleep,
174,174,2/19/2024 0:03,2/19/2024,waypoint,Gran Tarajal,,0,175,2/19/2024 0:05,2/19/2024,waypoint,Gran Tarajal Autovia,0,not_sleep,
