"leg_id","timestamp_utc","from_key","to_key","from_name","to_name","transport","route_source","route_confidence"
"608","2024-08-16 22:01:00","1723845600000","1723845660000","Bern Grauholz rest stop","Weil am Rhein","car","arcgis","existing"
"609","2024-08-15 23:12:00","1723759860000","1723763520000","Bern Grauholz rest stop","Bern Grauholz","foot","arcgis","existing"
"610","2024-08-15 22:08:00","1723759620000","1723759680000","Geneva Airport","Geneva","train","arcgis","existing"
"611","2024-08-15 22:04:00","1723759380000","1723759440000","Pfynwald","Relais de St-Benard","car","arcgis","existing"
"612","2024-08-15 22:06:00","1723759440000","1723759560000","Relais de St-Benard","Etoy","car","arcgis","existing"
"613","2024-08-15 22:10:00","1723759740000","1723759800000","Lausanne rest stop","Gruyere rest stop","car","arcgis","existing"
"614","2024-08-15 22:11:00","1723759800000","1723759860000","Gruyere rest stop","Bern Grauholz rest stop","car","arcgis","existing"
"615","2024-08-15 22:07:00","1723759560000","1723759620000","Etoy","Geneva Airport","car","arcgis","existing"
"616","2024-08-15 22:01:00","1723673280000","1723759260000","Wiler, LÃƒÂ¶tschental","Gampel-Steg","car","arcgis","existing"
"617","2024-08-15 22:09:00","1723759680000","1723759740000","Geneva","Lausanne rest stop","car","arcgis","existing"
"618","2024-08-15 22:03:00","1723759260000","1723759380000","Gampel-Steg","Pfynwald","car","arcgis","existing"
"619","2024-08-16 22:10:00","1723846080000","1723846200000","GÃƒÂ¶ttingen","GÃƒÂ¶ttingen Wald","friends","arcgis","existing"
"620","2024-08-16 22:08:00","1723845900000","1723846080000","Wetterau rest stop","GÃƒÂ¶ttingen","car","arcgis","existing"
"621","2024-08-16 22:05:00","1723845720000","1723845900000","Frankfurt GrÃƒÂ¤fingen rest stop ","Wetterau rest stop","car","arcgis","existing"
"622","2024-08-16 22:02:00","1723845660000","1723845720000","Weil am Rhein","Frankfurt GrÃƒÂ¤fingen rest stop ","car","arcgis","existing"
"623","2024-08-16 22:00:00","1723763520000","1723845600000","Bern Grauholz","Bern Grauholz rest stop","foot","arcgis","existing"
"624","2024-08-15 22:01:00","1723759200000","1723759260000","Goppnstein","Gampel-Steg","car","arcgis","existing"
"625","2024-08-15 22:00:00","1723673280000","1723759200000","Wiler, LÃƒÂ¶tschental","Goppnstein","car","arcgis","existing"
"626","2024-08-19 22:00:00","1723846200000","1724104800000","GÃƒÂ¶ttingen Wald","Berlin David's Home","friends","arcgis","existing"
"627","2024-08-23 22:00:00","1724364120000","1724450400000","Frankfurt rest area","Rest area Bruchsal","car","arcgis","existing"
"628","2024-08-23 22:03:00","1724450460000","1724450580000","Aire de la Porte d'Alsace","Aire du Bois des Potets","car","arcgis","existing"
"629","2024-08-23 22:01:00","1724450400000","1724450460000","Rest area Bruchsal","Aire de la Porte d'Alsace","car","arcgis","existing"
"630","2024-08-22 22:02:00","1724364060000","1724364120000","Rest area Reinhardshain","Frankfurt rest area","truck","arcgis","existing"
"631","2024-08-22 22:01:00","1724364000000","1724364060000","Rest area Erfurt","Rest area Reinhardshain","car","arcgis","existing"
"632","2024-08-22 22:00:00","1724104800000","1724364000000","Berlin David's Home","Rest area Erfurt","friends","arcgis","existing"
